Name,Year,Group,Status,Birth Date,Birth Place,Gender,Alma Mater,Undergraduate Major,Graduate Major,Military Rank,Military Branch,Space Flights,Space Flight (hr),Space Walks,Space Walks (hr),Missions,Death Date,Death Mission
Kevin A. Ford,2000,18,Active,7/7/60,"Portland, IN",Male,University Of Notre Dame; Troy State University; University Of Florida; Air Force Institute Of Technology,Aerospace Engineering,International Relations; Aerospace Engineering; Astronautical Engineering,Colonel,US Air Force (Retired),2,3781,0,0,"STS-128 (Discovery), ISS-33/34 (Soyuz)",,
Michael J. Foreman,1998,17,Management,3/29/57,"Columbus, OH",Male,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,Captain,US Navy (Retired),2,637,5,32,"STS-123 (Endeavor), STS-129 (Atlantis)",,
Patrick G. Forrester,1996,16,Management,3/31/57,"El Paso, TX",Male,US Military Academy; University Of Virginia,Applied Science & Engineering,Mechanical & Aerospace Engineering,Colonel,US Army (Retired),3,950,4,25,"STS-105 (Discovery), STS-117 (Atlantis), STS-128 (Discovery)",,
Michael E. Fossum,1998,17,Active,12/19/57,"Sioux Falls, SD",Male,Texas A&M University; Air Force Institute Of Technology; University Of Houston-Clear Lake,Mechanical Engineering,Systems Engineering; Physical Science (Space Science),,US Air Force Reserves (Retired),3,4651,7,48,"STS-121 (Discovery), STS-124 (Discovery), ISS-28/29 (Soyuz)",,
Theodore C. Freeman,1963,3,Deceased,2/18/30,"Haversford, PA",Male,US Naval Academy; University Of Michigan,,Aeronautical Engineering,Captain,US Air Force,0,0,0,0,,10/31/64,
Stephen N. Frick,1996,16,Management,9/30/61,"Pittsburgh, PA",Male,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,Captain,US Navy (Retired),2,566,0,0,"STS-110 (Atlantis), STS-122 (Atlantis)",,
C. Gordon Fullerton,1969,7,Retired,10/11/36,"Rochester, NY",Male,California Institute Of Technology,Mechanical Engineering,Mechanical Engineering,Colonel,US Air Force (Retired),2,382,0,0,"STS-3 (Columbia), STS 51-F (Challenger)",,
F. Andrew Gaffney,,,Retired,6/9/46,"Carlsbad, NM",Male,University Of California-Berkeley; University Of New Mexico,Psychology,Medicine,,,1,218,0,0,STS-40 (Columbia),,
Ronald J. Garan Jr. ,2000,18,Management,10/20/61,"Yonkers, NY",Male,State University Of New York; Embry-Riddle Aeronautical University; University Of Florida,Business Economics,Aeronautics; Aerospace Engineering,Colonel,US Air Force (Retired),2,4271,4,27,"STS-124 (Discovery), ISS-27/28 (Soyuz)",,
Dale A. Gardner,1978,8,Retired,11/8/48,"Fairmont, MN",Male,University Of Illinois,Engineering Physics,,Captain,US Navy (Retired),2,336,2,12,"STS-8 (Challenger), STS 51-A (Discovery)",,
Guy S. Gardner,1980,9,Retired,1/6/48,"Alta Vista, VA",Male,US Air Force Academy; Purdue University,Engineering Sciences; Astronautics & Mathematics,Astronautics,Colonel,US Air Force (Retired),2,320,0,0,"STS-27 (Atlantis), STS-35 (Columbia)",,
Jake Garn,,,Retired,10/12/32,Richfield. UT,Male,University Of Utah,Business Finance,,,,1,167,0,0,STS 51-D (Discovery),,
Owen K. Garriott,1965,4,Retired,11/22/30,"Enid, OK",Male,University Of Oklahoma; Stanford University,Electrical Engineering,Electrical Engineering,,,2,1674,3,14,"Skylab 3, STS-9 (Columbia)",,
Charles D. Gemar,1985,11,Retired,8/4/55,"Yanktown, SD",Male,US Military Academy,Engineering,,Lieutenant Colonel,US Army,3,581,0,0,"STS-38 (Atlantis), STS-48 (Discovery), STS-62 (Columbia)",,
Michael L. Gernhardt,1992,14,Management,5/4/56,"Mansfield, OH",Male,Vanderbilt University; University Of Pennsylvania,Physics,Bioengineering,,,4,1039,4,23,"STS-69 (Endeavor), STS-83 (Columbia), STS-94 (Columbia), STS-104 (Atlantis)",,
Edward G. Gibson,1965,4,Retired,11/8/36,"Buffalo, NY",Male,University Of Rochester; California Institute Of Technology,Engineering,Engineering,,,1,2017,3,15,Skylab 4,,
Robert L. Gibson,1978,8,Retired,10/30/46,"Cooperstown, NY",Male,California Polytechnic Institute,Aeronautical Engineering,,Captain,US Navy (Retired),5,868,0,0,"STS 41-B (Challenger), STS 61-C (Columbia), STS-27 (Atlantis), STS-47 (Endeavor), STS-71 (Atlantis)",,
Edward G. Givens Jr. ,1966,5,Deceased,1/5/30,"Quanah, TX",Male,US Naval Academy,Naval Sciences,,Major,US Air Force,0,0,0,0,,6/6/67,
John H. Glenn Jr. ,1959,1,Retired,7/18/21,"Cambridge, OH",Male,Muskingum College,Engineering,,Colonel,US Marine Corps (Retired),2,218,0,0,"Mercury 6, STS-95 (Discovery)",,
Linda M. Godwin,1985,11,Retired,7/2/52,"Cape Girardeau, MO",Female,Southeast Missouri State; University Of Missouri,Mathematics & Physics,Physics,,,4,918,2,10,"STS-37 (Atlantis), STS-59 (Endeavor), STS-76 (Atlantis), STS-108 (Endeavor)",,
Michael T. Good,2000,18,Management,10/13/62,"Parma, OH",Male,University Of Notre Dame,Aerospace Engineering,Aerospace Engineering,Colonel,US Air Force (Retired),2,592,4,30,"STS-125 (Atlantis), STS-132 (Atlantis)",,
Richard F. Gordon Jr. ,1963,3,Retired,10/5/29,"Seattle, WA",Male,University Of Washington,Chemistry,,Captain,US Navy (Retired),2,315,1,0.5,"Gemini 11, Apollo 12",,
Dominic L. Gorie,1995,15,Retired,5/2/57,"Lake Charles, LA",Male,US Naval Academy; University Of Tennessee,Ocean Engineering,Aviation Systems,Captain,US Navy (Retired),4,1167,0,0,"STS-91 (Discovery), STS-99 (Endeavor), STS-123 (Endeavor), STS-108 (Endeavor)",,
Ronald J. Grabe,1980,9,Retired,6/13/45,"New York, NY",Male,US Air Force Academy,Engineering Science,,Colonel,US Air Force (Retired),4,627,0,0,"STS 51-J (Atlantis), STS-30 (Atlantis), STS-42 (Discovery), STS-57 (Endeavor)",,
Duane E. Graveline,1965,4,Retired,3/2/31,"Newport, VT",Male,University Of Vermont; Johns Hopkins University,,Public Health; Medicine,,,0,0,0,0,,,
Frederick D. Gregory,1978,8,Retired,1/7/41,"Washington, DC",Male,US Air Force Academy; George Washington University In St. Louis,,Information Systems,Colonel,US Air Force (Retired),3,455,0,0,"STS 51-B (Challenger), STS-33 (Discovery), STS-44 (Atlantis)",,
William G. Gregory,1990,13,Retired,5/14/57,"Lockport, NY",Male,US Air Force Academy; Columbia University; Troy State University,Engineering Science,Engineering Mechanics; Business Management,Lieutenant Colonel,US Air Force,1,399,0,0,STS-67 (Endeavor),,
S. David Griggs,1978,8,Deceased,9/7/39,"Portland, OR",Male,US Naval Academy; George Washington University In St. Louis,,Business Administration,,,1,167,1,3,STS 51-D (Discovery),6/17/89,
Virgil I. Grissom,1959,1,Deceased,4/3/26,"Massachusetts Institute Of Technologychell, IN",Male,Purdue University,Mechanical Engineering,,Lieutenant Colonel,US Air Force,2,5,0,0,"Mercury 4, Gemini 3, Apollo 1",1/27/67,Apollo 1
John M. Grunsfeld,1992,14,Management,10/10/58,"Chicago, IL",Male,Massachusetts Institute Of Technology; University Of Chicago,Physics,Physics,,,5,1407,8,58,"STS-67 (Endeavor), STS-81 (Atlantis), STS-103 (Discovery), STS-125 (Atlantis), STS-109 (Columbia)",,
Sidney M. Gutierrez,1984,10,Retired,6/27/51,"Albuquerque, NM",Male,US Air Force Academy; Webster College,Aeronautical Engineering,Business Management,Colonel,US Air Force (Retired),2,488,0,0,"STS-40 (Columbia), STS-59 (Endeavor)",,
Fred W. Haise Jr. ,1966,5,Retired,11/14/33,"Biloxi, MS",Male,University Of Oklahoma,Aeronautical Engineering,,,,1,142,0,0,Apollo 13 ,,
James D. Halsell Jr. ,1990,13,Retired,9/29/56,"Monroe, LA",Male,US Air Force Academy; Troy State University; US Air Force Institute Of Technology,Engineering,Business Management; Space Operations,Colonel,US Air Force (Retired),5,1258,0,0,"STS-65 (Columbia), STS-74 (Atlantis), STS-83 (Columbia), STS-94 (Columbia), STS-101 (Atlantis)",,
Kenneth T. Ham,1998,17,Retired,12/12/64,"Plainfield, NJ",Male,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,Captain,US Navy,2,612,0,0,"STS-124 (Discovery), STS-132 (Atlantis)",,
L. Blaine Hammond Jr. ,1984,10,Retired,1/16/52,"Savannah, GA",Male,US Air Force Academy; Georgia Institute Of Technology,Engineering Science,Engineering Science,Colonel,US Air Force (Retired),2,462,0,0,"STS-39 (Discovery), STS-64 (Discovery)",,
Gregory J. Harbaugh,1987,12,Retired,4/15/56,"Cleveland, OH",Male,Purdue University; University Of Houston-Clear Lake,Aeronautical & Astronautical Engineering,Physical Science,,,4,817,3,18,"STS-39 (Discovery), STS-54 (Endeavor), STS-71 (Atlantis), STS-82 (Discovery)",,
Bernard A. Harris Jr. ,1990,13,Retired,6/26/56,"Temple, TX",Male,University Of Houston; Texas Tech University,Biology,Medicine,,,2,438,1,5,"STS-55 (Columbia), STS-63 (Discovery)",,
Terry J. Hart,1978,8,Retired,10/27/46,"Pittsburgh, PA",Male,Lehigh University; Massachusetts Institute Of Technology; Rutgers University,Mechanical Engineering,Mechanical Engineering; Electrical Engineering,,,1,167,0,0,STS 41-C (Challenger),,
Henry W. Hartsfield Jr. ,1969,7,Retired,11/21/33,"Birmingham, AL",Male,Auburn University; University Of Tennessee,Physics,Engineering Science,Colonel,US Air Force (Retired),3,482,0,0,"STS-4 (Columbia), STS 41-D (Discovery), STS 61-A (Challenger)",,
Frederick H. Hauck,1978,8,Retired,4/11/41,"Long Beach, CA",Male,Tufts University; Massachusetts Institute Of Technology,Physics,Nuclear Engineering,Captain,US Navy (Retired),3,435,0,0,"STS-7 (Challenger), STS 51-A (Discovery), STS-26 (Discovery)",,
Steven A. Hawley,1978,8,Retired,12/12/51,"Ottawa, KS",Male,University Of Kansas; University Of California,Physics & Astronomy,Astronomy & Astrophysics,,,5,770,0,0,"STS 41-D (Discovery), STS 61-C (Columbia), STS-31 (Discovery), STS-82 (Discovery), STS-93 (Columbia)",,
Susan J. Helms,1990,13,Retired,2/26/58,"Charlotte, NC",Female,US Air Force Academy; Stanford University,Aeronautical Engineering,Aeronautics & Astronautics,Lieutenant General,US Air Force,5,5063,1,9,"STS-54 (Endeavor), STS-64 (Discovery), STS-78 (Columbia), STS-101 (Atlantis), STS-102/105 (Discovery)",,
Karl G. Henize,1967,6,Deceased,10/17/26,"Cincinnati, OH",Male,University Of Virginia; University Of Michigan,Mathematics,Astronomy,,,1,190,0,0,STS 51-F (Challenger),10/5/93,
Thomas J. Hennen,,,Retired,8/17/52,"Albany, GA",Male,,,,Chief Warrant Officer,US Army (Retired),1,166,0,0,STS-44 (Atlantis),,
Terence T. Henricks,1985,11,Retired,7/5/52,"Bryan, OH",Male,US Air Force Academy; Golden Gate University,Civil Engineering,Public Administration,Colonel,US Air Force (Retired),4,1026,0,0,"STS-44 (Atlantis), STS-55 (Columbia), STS-70 (Discovery), STS-78 (Columbia)",,
Jose M. Hernandez,2004,19,Retired,8/7/62,"French Camp, CA",Male,"University Of the Pacific; University Of California, Santa Barbara",Electrical Engineering,Electrical & Computer Engineering,,,1,332,0,0,STS-128 (Discovery),,
John B. Herrington,1996,16,Retired,9/14/58,"Wetumka, OK",Male,University Of Colorado; US Naval Postgraduate School,Applied Mathematics,Aeronautical Engineering,Commander,US Navy (Retired),1,330,3,20,STS-113 (Endeavor),,
Richard J. Hieb,1985,11,Retired,9/21/55,"Jamestown, ND",Male,Northwest Nazarene College; University Of Colorado,Mathematics & Physics,Aerospace Engineering,,,3,766,3,18,"STS-39 (Discovery), STS-49 (Endeavor), STS-65 (Columbia)",,
Joan E. Higginbotham,1996,16,Retired,8/3/64,"Chicago, IL",Female,Southern Illinois University-Carbondale; Florida Institute Of Technology,Electrical Engineering,Business Management; Space Systems,,,1,308,0,0,STS-116 (Discovery),,
David C. Hilmers,1980,9,Retired,1/28/50,"Clinton, IA",Male,Cornell University; US Naval Postgraduate School,Mathematics,Electrical Engineering,Colonel,US Marine Corps (Retired),4,494,0,0,"ST 51-J (Atlantis), STS-26 (Discovery), STS-36 (Atlantis), STS-42 (Discovery)",,
Kathryn P. Hire,1995,15,Management,8/26/59,"Mobile, AL",Female,US Naval Academy; Florida State Institute Of Technology,Engineering Management,Space Technology,Captain,US Naval Reserves,2,711,0,0,"STS-90 (Columbia), STS-130 (Endeavor)",,
Charles O. Hobaugh,1996,16,Retired,11/5/61,"Bar Harbor, ME",Male,US Naval Academy,Aerospace Engineering,,Colonel,US Marine Corps (Retired),3,873,0,0,"STS-104 (Atlantis), STS-118 (Endeavor), ST-129 (Atlantis)",,
Jeffrey A. HOffman,1978,8,Retired,11/2/44,"Brooklyn, NY",Male,Amherst College; Rice University; Harvard University,Astronomy,Materials Science; Astrophysics,,,5,1211,4,25,"STS 51-D (Discovery), STS-35 (Columbia), STS-46 (Atlantis), STS-61 (Endeavor), STS-75 (Columbia)",,
Donald L. Holmquest,1967,6,Retired,4/7/39,"Dallas, TX",Male,Southern Methodist University; Baylor University; University Of Houston,Electrical Engineering,Physiology; Medicine; Law,,,0,0,0,0,,,
Michael S. Hopkins,2009,20,Active,12/28/68,"Lebanon, MO",Male,University Of Illinois; Stanford University,Aerospace Engineering,Aerospace Engineering,Colonel,US Air Force,1,3990,2,13,ISS-37/38 (Soyuz),,
Scott J. Horowitz,1992,14,Retired,3/24/57,"Philadelphia, PA",Male,California State University-Northridge; Georgia Institute Of Technology,Engineering,Aerospace Engineering,Colonel,US Air Force (Retired),4,1137,0,0,"STS-75 (Columbia), STS-82 (Discovery), STS-101 (Atlantis), STS-105 (Discovery)",,
Millie Hughes-Fulford,,,Retired,12/21/45,"Mineral Wells, TX",Female,Tarleton State University; Texas Woman’s University,Chemistry & Biology,,,,1,218,0,0,STS-40 (Columbia),,
Douglas G. Hurley,2000,18,Active,10/21/66,"Endicott, NY",Male,Tulane University,Civil Engineering,,Colonel,US Marine Corps,2,683,0,0,"STS-127 (Endeavor), STS-135 (Atlantis)",,
Rick D. Husband,1995,15,Deceased,7/12/57,"Amarillo, TX",Male,Texas Tech University; California State University,Mechanical Engineering,Mechanical Engineering,Colonel,US Air Force,2,617,0,0,"STS-96 (Discovery), STS-107 (Columbia)",2/1/03,STS-107 (Columbia)
James B. Irwin,1966,5,Deceased,3/17/30,"Pittsburgh, PA",Male,US Naval Academy; University Of Michigan,Naval Sciences,Aeronautical Engineering,Colonel,US Air Force (Retired),1,295,3,20,Apollo 15,8/8/91,
Marsha S. Ivins,1984,10,Retired,4/15/51,"Baltimore, MD",Female,University Of Colorado,Aerospace Engineering,,,,5,1341,0,0,"STS-32 (Columbia), STS-46 (Atlantis), STS-62 (Columbia), STS-81 (Atlantis), STS-98 (Atlantis)",,
Gregory B. Jarvis,,,Deceased,8/24/44,"Detroit, MI",Male,State University Of New York at Buffalo; Northeastern University,Electrical Engineering,Electrical Engineering,,,1,0,0,0,STS 51-L (Challenger),1/28/86,STS 51-L (Challenger)
Mae C. Jemison,1987,12,Retired,10/17/56,"Decatur, AL",Female,Stanford University; Cornell University,Chemical Engineering,Medicine,,,1,190,0,0,STS-47 (Endeavor),,
Tamara E. Jernigan,1985,11,Retired,5/7/59,"Chattanooga, TN",Female,Stanford University; University Of California-Berkeley; Rice University,Physics,Engineering Science; Astronomy,,,5,1489,1,8,"STS-40 (Columbia), STS-52 (Columbia), STS-67 (Endeavor), STS-80 (Columbia), STS-98 (Discovery)",,
Brent W. Jett,1992,14,Retired,10/5/58,"Pontiac, MI",Male,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,Captain,US Navy (Retired),4,1002,0,0,"STS-72 (Endeavor), STS-81 (Atlantis), STS-97 (Endeavor), STS-115 (Atlantis)",,
Gregory C. Johnson,1998,17,Management,7/30/54,"Seattle, WA",Male,University Of Washington,Aerospace Engineering,,Captain,US Navy (Retired),1,309,0,0,STS-125 (Atlantis),,
Gregory H. Johnson,1998,17,Active,5/12/62,"London, England",Male,US Air Force Academy; Columbia University; University Of Texas,Aeronautical Engineering,Flight Structures Engineering; Business Administration,Colonel,US Air Force (Retired),2,755,0,0,"STS-123 (Endeavor), STS-134 (Endeavor)",,
Thomas D. Jones,1990,13,Retired,1/22/55,"Baltimore, MD",Male,US Air Force Academy; University Of Arizona,,Planetary Science,,,4,1272,3,20,"STS-59 (Endeavor), STS-68 (Endeavor), STS-80 (Columbia), STS-98 (Atlantis)",,
Janet L. Kavandi,1995,15,Management,7/17/59,"Springfield, MO",Female,Missouri Southern State College; University Of Missouri; University Of Washington,Chemistry,Chemistry,,,3,812,0,0,"STS-91 (Discovery), STS-99 (Endeavor), STS-104 (Atlantis)",,
James M. Kelly,1996,16,Management,5/14/64,"Burlington, IA",Male,US Air Force Academy; University Of Alabama,Astronautical Engineering,Aerospace Engineering,Colonel,US Air Force (Retired),2,641,0,0,"STS-102 (Discovery), STS-114 (Discovery)",,
Mark E. Kelly,1996,16,Retired,2/21/64,"Orange, NJ",Male,US Merchant Marine Academy; US Naval Postgraduate School,Marine Engineering & Nautical Science,Aeronautical Engineering,Captain,US Navy (Retired),4,1298,0,0,"STS-108 (Endeavor), STS-121 (Discovery), STS-124 (Discovery), STS-134 (Endeavor)",,
Scott J. Kelly,1996,16,Active,2/21/64,"Orange, NJ",Male,State University Of New York Maritime College; University Of Tennessee-Knoxville,Electrical Engineering,Aviation Systems,Captain,US Navy (Retired),4,12490,3,18,"STS-103 (Discovery), STS-118 (Endeavor), ISS-25/26 (Soyuz), ISS-43/44/45/46 (Soyuz)",,
Joseph P. Kerwin,1965,4,Retired,2/19/32,"Oak Park, IL",Male,College Of the Holy Cross; Northwestern University,Philosophy,Medicine,Captain,US Navy (Retired),1,672,1,3,Skylab 2,,
Susan L. Kilrain (Still),1995,15,Retired,10/24/61,"Augusta, GA",Female,Embry-Riddle University; Georgia Institute Of Technology,Astronautical Engineering,Aerospace Engineering,Commander,US Navy (Retired),2,472,0,0,"STS-83 (Columbia), STS-94 (Columbia)",,
Robert Shane Kimbrough,2004,19,Active,6/4/67,"Killeen, TX",Male,US Military Academy; Georgia Institute Of Technology,Aerospace Engineering,Operations Research,Colonel,US Army,3,3720,4,25,"STS-126 (Endeavor), ISS-49/50 (Soyuz)",,
Timothy L. Kopra,2000,18,Active,4/9/63,"Austin, TX",Male,US Military Academy; Georgia Institute Of Technology; US Army War College,Computer Science,Aerospace Engineering; Strategic Studies,Colonel,US Army (Retired),2,5857,3,13,"STS-127/128 (Endeavor/Discovery), ISS-46/47 (Soyuz)",,
Kevin R. Kregel,1992,14,Retired,9/16/56,"New York, NY",Male,US Air Force Academy; Troy State University,Astronautical Engineering,Public Administration,,,4,1265,0,0,"STS-70 (Discovery), STS-78 (Columbia), STS-87 (Columbia), STS-99 (Endeavor)",,
Wendy B. Lawrence,1992,14,Retired,7/2/59,"Jacksonville, FL",Female,US Naval Academy; Massachusetts Institute Of Technology,Ocean Engineering,Ocean Engineering,Captain,US Navy (Retired),4,1223,0,0,"STS-67 (Endeavor), STS-86 (Atlantis), STS-91 (Discovery), STS-114 (Discovery)",,
Mark C. Lee,1984,10,Retired,8/14/52,"Viroqua, WI",Male,US Air Force Academy; Massachusetts Institute Of Technology,Civil Engineering,Mechanical Engineering,Colonel,US Air Force (Retired),4,789,4,26,"STS-30 (Atlantis), STS-47 (Endeavor), STS-64 (Discovery), STS-82 (Discovery)",,
David C. Leestma,1980,9,Management,5/6/49,"Muskegon, MI",Male,US Naval Academy; US Naval Postgraduate School,Aeronautical Engineering,Aeronautical Engineering,Captain,US Navy (Retired),3,532,1,3,"STS 41-G (Challenger), STS-28 (Columbia), STS-45 (Atlantis)",,
William B. Lenoir,1967,6,Deceased,3/14/39,"Miami, FL",Male,Massachusetts Institute Of Technology,Electrical Engineering,Electrical Engineering,,,1,122,0,0,STS-5 (Columbia),8/26/12,
Fred W. Leslie,,,Retired,12/19/51,"Ancon, Panama",Male,University Of Texas; University Of Oklahoma,Engineering Science,Meteorology,,,1,381,0,0,STS-73 (Columbia),,
Byron K. Lichtenberg,,,Retired,2/19/48,"Stroudsburg, PA",Male,Brown University; Massachusetts Institute Of Technology,Aerospace Engineering,Mechanical Engineering; Biomedical Engineering,,,2,461,0,0,"STS-9 (Columbia), STS-45 (Atlantis)",,
Don L. Lind,1966,5,Retired,5/18/30,"Midvale, UT",Male,University Of Utah; University Of California-Berkley,Physics,Nuclear Physics,,,1,168,0,0,STS 51-B (Challenger),,
Kjell N. Lindgren,2009,20,Active,1/23/73,"Taipei, Taiwan",Male,US Air Force Academy; University Of Colorado; Colorado State University; University Of Minnesota; University Of Texas Medical Branch-Galveston,Biology,Medicine; Cardiovascular Physiology; Health Informatics; Public Health,,,1,3400,2,15,ISS-44/45 (Soyuz),,
Steven W. Lindsey,1995,15,Retired,8/24/60,"Arcadia, CA",Male,US Air Force Academy; US Air Force Institute Of Technology,Engineering Science,Aeronautical Engineering,Colonel,US Air Force (Retired),5,1510,0,0,"STS-87 (Columbia), STS-95 (Discovery), STS-104 (Atlantis), STS-121 (Discovery), STS-133 (Discovery)",,
Jerry M. Linenger,1992,14,Retired,1/16/55,"Mount Clemens, MI",Male,US Naval Academy; University Of Southern California; University Of North Carolina; Wayne State University,Bioscience,Systems Management; Public Health; Medicine; Epidemiology,Captain,US Navy (Retired),2,3435,1,5,"STS-64 (Discovery), STS-81/84 (Atlantis)",,
Richard M. Linnehan,1992,14,Management,9/19/57,"Lowell, MA",Male,University Of New Hampshire; Ohio State University; Harvard University,Animal Science,Veterinary Medicine; Public Administration,,,4,1427,6,43,"STS-78 (Columbia), STS-90 (Columbia), STS-109 (Columbia), STS-123 (Endeavor)",,
Gregory T. Linteris,,,Retired,10/4/57,"Demarest, NJ",Male,Princeton University; Stanford University,Chemical Engineering,Mechanical Engineering; Mechanical & Aerospace Engineering,,,2,471,0,0,"STS-83 (Columbia), STS-94 (Columbia)",,
John A. Llewellyn,1967,6,Retired,4/22/33,"Cardiff, Wales",Male,University College at Cardiff,Chemistry,Chemistry,,,0,0,0,0,,,
Paul S. Lockhart,1996,16,Retired,4/28/56,"Amarillo, TX",Male,Texas Tech University; University Of Texas,Mathematics,Aerospace Engineering,Colonel,US Air Force (Retired),2,663,0,0,"STS-111 (Endeavor), STS-113 (Endeavor)",,
Michael E. Lopez-Alegria,1992,14,Retired,5/30/58,"Madrid, Spain",Male,US Naval Academy; US Naval Postgraduate School,Systems Engineering,Aeronautical Engineering,Captain,US Navy (Retired),3,6190,10,67,"STS-73 (Columbia), STS-92 (Discovery), STS-113 (Endeavor), ISS-14 (Soyuz)",,
Christopher J. Loria,1996,16,Retired,7/9/60,"Belmont, MA",Male,US Naval Academy; Harvard University,Engineering,Public Administration,Colonel,US Marine Corps (Retired),0,0,0,0,,,
J. Mike Lounge,1980,9,Deceased,6/28/46,"Denver, CO",Male,US Naval Academy; University Of Colorado,Mathematics & Physics,Astrogeophysics,,,3,483,0,0,"STS 51-I (Discovery), STS-26 (Discovery), STS-35 (Columbia)",3/1/11,
Jack R. Lousma,1966,5,Retired,2/29/36,"Grand Rapids, MI",Male,University Of Michigan; US Naval Postgraduate School,Aeronautical Engineering,Aeronautical Engineering,Colonel,US Marine Corps (Retired),2,1619,2,11,"Skylab 3, STS-3 (Columbia)",,
Stanley G. Love,1998,17,Management,6/8/65,"San Diego, CA",Male,Harvey Mudd College; University Of Washington,Physics,Astronomy,,,1,306,2,15,STS-122 (Atlantis),,
James A. Lovell Jr. ,1962,2,Retired,3/25/28,"Cleveland, OH",Male,US Naval Academy,,,Captain,US Navy (Retired),4,715,0,0,"Gemini 7, Gemini 12, Apollo 8, Apollo 13",,
G. David Low,1984,10,Deceased,2/19/56,"Cleveland, OH",Male,Washington & Lee University; Cornell University; Stanford University,Physics & Engineering,Mechanical Engineering; Aeronautics & Astronautics,,,3,714,1,6,"STS-32 (Columbia), STS-43 (Atlantis), STS-57 (Endeavor)",3/15/08,
Edward T. Lu,1995,15,Retired,7/1/63,"Springfield, MA",Male,Cornell University; Stanford University,Electrical Engineering,Applied Physics,,,3,4962,1,6,"STS-84 (Atlantis), STS-106 (Atlantis), ISS-07 (Soyuz)",,
Shannon W. Lucid,1978,8,Retired,1/14/43,"Shanghai, China",Female,University Of Oklahoma,Chemistry,Biochemistry,,,5,5354,0,0,"STS 51-G (Discovery), STS-34 (Atlantis), STS-43 (Atlantis), STS-58 (Columbia), STS-76/79 (Atlantis)",,
Sandra H. Magnus,1996,16,Retired,10/30/64,"Belleville, IL",Female,University Of Missouri-Rolla; Georgia Institute Of Technology,Physics,Electrical Engineering; Materials Science & Engineering,,,3,3776,0,0,"STS-112 (Atlantis), STS-126/119 (Endeavor/Discovery), STS-135 (Atlantis)",,
Thomas H. Marshburn,2004,19,Active,8/29/60,"Statesville, NC",Male,Davidson College; University Of Virginia; Wake Forest University; University Of Texas Medical Branch-Galveston,Physics,Engineering Physics; Medicine; Medical Science,,,2,3871,4,24,"STS-127 (Endeavor), ISS-34/35 (Soyuz)",,
Michael J. Massimino,1996,16,Management,8/19/62,"Oceanside, NY",Male,Columbia University; Massachusetts Institute Of Technology,Industrial Engineering,Technology & Policy; Mechanical Engineering,,,2,571,4,30,"STS-109 (Columbia), STS-125 (Atlantis)",,
Richard A. Mastracchio,1996,16,Active,2/11/60,"Waterbury, CT",Male,University Of Connecticut; Rensselaer Polytechnic Institute; University Of Houston-Clear Lake,Electrical Engineering; Computer Science,Electrical Engineering; Physical Sciences,,,4,5461,9,53,"STS-106 (Atlantis), STS-118 (Endeavor), STS-131 (Discovery), ISS-38/39 (Soyuz)",,
Thomas K. Mattingly II ,1966,5,Retired,3/17/36,"Chicago, IL",Male,Auburn University,Aeronautical Engineering,,Rear Admiral,US Navy (Retired),3,508,1,1,"Apollo 16, STS-4 (Columbia), STS 51-C (Discovery)",,
K. Megan McArthur,2000,18,Active,8/30/71,"Honolulu, HI",Female,University Of California-Los Angeles; University Of California-San Diego,Aerospace Engineering,Oceanography,,,1,309,0,0,STS-125 (Atlantis),,
William S. McArthur Jr. ,1990,3,Management,7/26/51,"Laurinburg, NC",Male,US Military Academy; Georgia Institute Of Technology,Applied Science & Engineering,Aerospace Engineering,Colonel,US Army (Retired),4,5398,4,24,"STS-58 (Columbia), STS-74 (Atlantis), STS-92 (Discovery), ISS-12 (Soyuz)",,
S. Christa McAuliffe,,,Deceased,9/2/48,"Boston, MA",Female,Framingham State College; Bowie State College,Education,Education,,,1,0,0,0,STS 51-L (Challenger),1/28/86,STS 51-L (Challenger)
Jon A. McBride,1978,8,Retired,8/14/43,"Charleston, WV",Male,US Naval Postgraduate School,Aeronautical Engineering,,Captain,US Navy (Retired),1,197,0,0,STS 41-G (Challenger),,
Bruce McCandless II ,1966,5,Retired,6/8/37,"Boston, MA",Male,US Naval Academy; Stanford University; University Of Houston-Clear Lake,,Electrical Engineering; Business Administration,Captain,US Navy (Retired),2,312,2,12,"STS 41-B (Challenger), STS-31 (Discovery)",,
William C. McCool,1996,16,Deceased,9/23/61,"San Diego, CA",Male,US Naval Academy; University Of Maryland; US Naval Postgraduate School,Naval Sciences,Computer Science; Aeronautical Engineering,Commander,US Navy,1,382,0,0,STS-107 (Columbia),2/1/03,STS-107 (Columbia)
Michael J. McCulley,1984,10,Retired,8/4/43,"San Diego, CA",Male,Purdue University,Metallurgical Engineering,Metallurgical Engineering,Captain,US Navy (Retired),1,119,0,0,STS-34 (Atlantis),,
James A. McDivitt,1984,2,Retired,6/10/29,"Chicago, IL",Male,University Of Michigan,Astronautical Engineering,,Brigadier General,US Air Force (Retired),2,338,0,0,"Gemini 4, Apollo 9",,
